commit	profile	wall_time_s	train_total_time_s	startup_overhead_s	train_iter_time_s	train_rays_per_sec	train_batch_load_s	train_feature_cache_load_s	train_feature_gather_s	train_feature_populate_s	train_model_forward_s	train_metrics_loss_s	train_image_viz_s	eval_batch_load_s	eval_feature_cache_load_s	eval_feature_gather_s	eval_feature_populate_s	eval_image_s	eval_all_images_s	peak_gpu_mem_mb	pixel_visit_x	pixel_visit_x_pct_diff	window_coverage_w	window_coverage_w_pct_diff	train_psnr	train_feature_error	train_foreground_acc	eval_all_psnr	eval_all_ssim	eval_all_lpips	max_quality_regression_pct	status	description	summary_path
a473ef2	measure	123.60	109.62	13.98	0.02	851926.75	0.00	0.00	0.00	0.00	0.00	0.00		0.01	0.01	0.00	0.01	1.14	4.14	7819.23	0.15	0.00	2.38	0.00	31.20	0.09	0.97	24.82	0.91	0.28	9.66	keep	precompute perspective ray geometry on main base	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_014859_measure_a473ef2/summary.json
106df41	measure	117.61	103.55	14.05	0.01	978725.94	0.00	0.00	0.00	0.00	0.00	0.00		0.01	0.01	0.00	0.01	1.13	4.16	7820.45	0.15	0.00	2.23	-6.25	31.19	0.09	0.98	24.83	0.91	0.28	13.84	keep	12288 train rays with 5400-step schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_015233_measure_106df41/summary.json
c95beba	measure	110.43	96.33	14.10	0.01	1028334.25	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.14	4.16	7822.88	0.15	0.00	2.38	0.00	30.84	0.09	0.96	24.86	0.91	0.28	9.35	keep	13824 train rays with 4800-step schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_015503_measure_c95beba/summary.json
097051d	measure	107.58	93.67	13.92	0.01	1122312.25	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.02	0.00	0.02	1.16	4.18	7825.32	0.15	0.00	2.38	0.00	31.30	0.09	0.97	25.21	0.91	0.29	44.27	discard	15360 train rays with 4320-step schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_015746_measure_097051d/summary.json
280819f	measure	112.24	98.28	13.96	0.02	1007782.56	0.00	0.00	0.00	0.00	0.01	0.00		0.02	0.01	0.00	0.01	1.23	4.36	17304.54	0.15	0.01	2.38	0.00	31.35	0.09	0.96	25.40	0.91	0.28	11.97	discard	14592 train rays with 4548-step schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_020022_measure_280819f/summary.json
3ce6d52	measure	112.61	98.86	13.75	0.01	1014968.31	0.00	0.00	0.00	0.00	0.00	0.00		0.01	0.01	0.00	0.01	1.14	4.14	17301.18	0.15	-0.19	2.38	0.00	30.66	0.08	0.97	25.11	0.91	0.29	10.49	discard	14080 train rays with 4704-step schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_020301_measure_3ce6d52/summary.json
c97cf81	measure	108.24	94.54	13.70	0.01	1082122.38	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.12	4.10	7273.79	0.15	0.00	2.38	0.00	30.75	0.09	0.97	25.11	0.91	0.28	9.40	keep	keep train window images in uint8	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_021345_measure_c97cf81/summary.json
1dcadc6	measure	110.28	96.08	14.20	0.01	1038077.75	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.02	0.00	0.02	1.17	4.18	13138.58	0.15	0.00	2.38	0.00	31.62	0.08	0.98	23.92	0.91	0.27	7.02	discard	use 64-image uint8 train windows	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_021655_measure_1dcadc6/summary.json
70eef32	measure	110.75	96.76	13.99	0.01	1066388.00	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.17	4.13	10756.01	0.15	0.00	2.37	-0.39	31.00	0.08	0.97	24.08	0.91	0.28	11.44	discard	use 51-image uint8 train windows	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_022127_measure_70eef32/summary.json
f388b01	measure	110.96	97.13	13.82	0.01	1001972.44	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.17	4.15	7272.52	0.15	0.00	2.38	0.00	30.72	0.09	0.98	25.04	0.91	0.28	9.49	discard	lower auxiliary supervision ratio to 3/32 on uint8 base	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_022854_measure_f388b01/summary.json
